@relation '1year-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT20)-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V'

@attribute Attr1 numeric
@attribute Attr2 numeric
@attribute Attr3 numeric
@attribute Attr4 numeric
@attribute Attr5 numeric
@attribute Attr6 numeric
@attribute Attr7 numeric
@attribute Attr8 numeric
@attribute Attr9 numeric
@attribute Attr10 numeric
@attribute Attr11 numeric
@attribute Attr12 numeric
@attribute Attr13 numeric
@attribute Attr14 numeric
@attribute Attr15 numeric
@attribute Attr16 numeric
@attribute Attr17 numeric
@attribute Attr18 numeric
@attribute Attr19 numeric
@attribute Attr20 numeric
@attribute Attr21 numeric
@attribute Attr22 numeric
@attribute Attr23 numeric
@attribute Attr24 numeric
@attribute Attr25 numeric
@attribute Attr26 numeric
@attribute Attr27 numeric
@attribute Attr28 numeric
@attribute Attr29 numeric
@attribute Attr30 numeric
@attribute Attr31 numeric
@attribute Attr32 numeric
@attribute Attr33 numeric
@attribute Attr34 numeric
@attribute Attr35 numeric
@attribute Attr36 numeric
@attribute Attr37 numeric
@attribute Attr38 numeric
@attribute Attr39 numeric
@attribute Attr40 numeric
@attribute Attr41 numeric
@attribute Attr42 numeric
@attribute Attr43 numeric
@attribute Attr44 numeric
@attribute Attr45 numeric
@attribute Attr46 numeric
@attribute Attr47 numeric
@attribute Attr48 numeric
@attribute Attr49 numeric
@attribute Attr50 numeric
@attribute Attr51 numeric
@attribute Attr52 numeric
@attribute Attr53 numeric
@attribute Attr54 numeric
@attribute Attr55 numeric
@attribute Attr56 numeric
@attribute Attr57 numeric
@attribute Attr58 numeric
@attribute Attr59 numeric
@attribute Attr60 numeric
@attribute Attr61 numeric
@attribute Attr62 numeric
@attribute Attr63 numeric
@attribute Attr64 numeric
@attribute class {0,1}

@data
0.24001,0.44355,0.18835,1.44,-21.165,-0.9319,0.24001,1.2545,4.7447,0.55645,0.24227,0.56072,0.1951,0.24001,174.89,2.087,2.2545,0.24001,0.050585,22.027,1.6856,0,0.050585,?,-0.63075,2.087,0,0.491,3.2184,0.091302,0.1082,50.94,7.1653,6.9146,0.01533,4.7447,?,0.55645,0.003231,0.12237,0.021562,0,43.388,21.361,0.83822,0.7711,34.076,-0.6857,-0.14452,1.3897,0.42804,0.13956,1.4505,1.4505,311.43,0.35359,0.43132,0.64794,0,16.571,17.087,32.928,11.085,12.369,0
-0.027117,0.11148,0.11989,2.0754,-31.643,-0.084883,-0.0243,7.6741,0.90732,0.85551,-0.0243,-0.21798,0.10164,-0.0243,754.95,0.48347,8.9702,-0.0243,-0.045825,99.502,1.1625,-0.024649,-0.051136,-0.076857,0.85551,0.45821,-0.42174,0.15597,4.0568,0.1582,-0.045825,69.621,5.2427,-0.22111,-0.024649,0.58684,?,0.85551,-0.046482,0.42528,0.068443,-0.046482,126.62,27.115,-0.18758,0.77866,90.281,-0.10285,-0.19395,2.0754,0.11148,0.19074,1.113,1.113,1366.5,-0.10214,-0.031697,1.1021,0,3.6683,13.461,76.732,4.7568,0.68991,0
0.26669,0.34994,0.61147,3.0243,43.087,0.55983,0.33207,1.8577,1.1268,0.65006,0.33207,1.0993,0.12047,0.33207,367.04,0.99444,2.8577,0.33207,0.11496,38.183,1.0581,0.30471,0.092322,0.51586,0.65006,0.80759,1.1885,7.0728,3.9412,0.088635,0.11496,43.006,8.4871,0.87075,0.30471,2.9161,12.773,0.69793,0.10548,0.32525,0.035883,0.10548,103.02,64.834,0.88253,2.0239,43.023,0.28879,0.099972,2.6106,0.30207,0.11783,7.5192,8.0728,5340,0.1125,0.41025,0.8875,0.07363,9.5593,5.6298,38.168,9.5629,33.413,0
0.067731,0.19885,0.081562,2.9576,90.606,0.21265,0.078063,4.029,1.257,0.80115,0.078063,1.8736,0.31036,0.078063,926.03,0.39415,5.029,0.078063,0.30912,44.446,1.1848,0.05373,0.2682,0.24604,0.80115,0.3422,2.6744,0.093025,5.2684,0.7807,0.30912,75.693,4.8221,0.27021,0.05373,0.27897,0.58833,0.95834,0.21276,0.048375,0.12097,0.21276,175.19,130.74,2.2025,2.2195,55.868,0.053417,0.21152,0.61971,0.041664,0.20738,0.91375,1.093,15132,0.20444,0.084542,0.79556,0.19619,8.2122,2.7917,60.218,6.0613,0.28803,0
-0.029182,0.21131,0.45264,7.5746,57.844,0.010387,-0.034653,3.7324,1.0241,0.78869,-0.034653,-0.50333,0.004191,-0.034653,23292,0.015671,4.7324,-0.034653,-0.043861,105.35,0.99083,-0.050624,-0.036936,0.016014,0.78869,0.041561,-0.65622,0.94595,4.8827,0.11935,-0.043861,32.575,11.205,-0.23957,-0.050624,0.80603,2.0599,0.93115,-0.064076,3.2502,-0.54879,-0.064076,137.54,32.193,-0.12797,4.2624,107.89,-0.088588,-0.11213,2.4679,0.068848,0.089246,1.6482,1.946,34549,0.023565,-0.037001,0.97644,0.18063,3.4646,11.338,31.807,11.475,1.6511,0
-0.033801,1.154,-0.20599,0.8215,-74.451,-0.10413,-0.033801,-0.159,0.97767,-0.18349,-0.033801,-0.029291,-0.012483,-0.033801,-14644,-0.024924,0.86657,-0.033801,-0.01467,44.032,1.1049,-0.06741,-0.01467,-0.10413,-0.18349,-0.024924,-0.28604,-3.9602,5.438,0.46412,-0.01467,178.73,2.0422,-0.058416,-0.06741,2.3722,?,-0.18349,-0.029258,0.075411,-0.60828,-0.029258,136.39,92.361,-0.12161,0.58064,43.049,-0.072449,-0.031445,0.8215,1.154,0.48967,-3.5277,-3.5277,-56473,-0.022837,0.18421,1.0228,0,8.2894,3.9519,182.81,1.9966,44.296,0
0.27053,0.29913,0.4687,2.5669,73.395,0.72793,0.33619,2.2315,1.2214,0.6675,0.33619,1.1239,0.20684,0.33619,291.52,1.2521,3.343,0.33619,0.18567,32.984,1.1281,0.33518,0.1494,0.9098,0.6675,1.0326,2.2609,2.0187,4.341,0.078511,0.18567,73.647,4.9561,1.1205,0.33518,1.8415,?,0.6675,0.1851,0.56029,0.026329,0.1851,120.99,88.006,1.6533,2.0198,40.287,0.29684,0.16393,2.5669,0.29913,0.20177,2.875,2.875,10278,0.18127,0.40529,0.81873,0,11.066,4.1474,60.297,6.0534,7.799,0
0.028084,0.24231,0.43224,3.0128,47.935,0.021598,0.039729,3.1037,1.0125,0.75206,0.039729,0.185,0.04419,0.039729,1059.3,0.34458,4.127,0.039729,0.021027,36.232,0.78628,0.054953,0.014863,0.03447,0.75206,0.29652,0.29448,1.2244,4.4729,-0.033048,0.021027,42.004,8.6896,0.22679,0.054953,1.9341,16.67,0.77962,0.029084,1.4286,0.080697,0.029084,65.719,29.487,0.14973,2.1394,36.686,0.011187,0.005921,2.6701,0.21475,0.11508,2.1304,2.2085,12841,0.012367,0.037342,0.98763,0.036647,10.074,12.378,41.485,8.7984,5.3523,0
0.20393,0.56037,0.13495,1.2408,3.158,0,0.24291,0.78452,2.2706,0.43963,0.24991,0.43347,0.117,0.24291,769.91,0.47408,1.7845,0.24291,0.10698,14.612,1.7474,0.23173,0.089812,?,0.40929,0.40452,33.062,0.44293,3.7222,0.08514,0.10764,100.95,3.6156,3.6156,0.24454,2.2706,?,0.43963,0.1077,0.70226,0.0734,0.10206,48.514,33.901,2.2434,1.0786,16.376,0.20897,0.092033,1.2408,0.56037,0.27658,1.4429,1.4429,711.85,0.1077,0.46386,0.89419,0,24.979,10.767,90.08,4.0519,7.4525,0
0.20876,0.4965,0.42548,2.019,38.934,0.005436,0.25619,1.0141,2.2827,0.5035,0.26624,0.61357,0.14063,0.25619,564.55,0.64654,2.0141,0.25619,0.11223,28.801,1.2501,0.26383,0.091453,?,0.43302,0.55101,26.249,2.7105,4.1519,0.15914,0.11311,75.269,4.8493,4.0781,0.25792,2.2827,28.044,0.52714,0.11299,0.39905,0.050359,0.11558,108.16,79.356,1.159,1.5876,32.469,0.19901,0.087182,1.6979,0.41754,0.20622,3.2075,3.3581,6037.1,0.11299,0.41462,0.88859,0.046947,12.673,4.5996,66.764,5.467,14.542,0
0.11119,0.63174,0.24796,2,58.154,0.24347,0.13909,0.58294,0.99034,0.36826,0.16821,0.56092,0.14828,0.13909,1570.3,0.23244,1.5829,0.13909,0.14044,37.267,?,0.15215,0.11227,?,0.35465,0.18828,5.2243,0.49203,3.8662,0.6346,0.15363,107.84,3.3847,1.3285,0.15106,0.99034,1.0402,0.74782,0.15254,0.063666,0.13169,0.15363,176.96,139.69,1.0996,1.5922,43.975,0.14439,0.1458,0.78501,0.24796,0.29544,0.73076,1.4839,1822,0.15254,0.30192,0.86275,1.0307,9.7941,2.6129,91.388,3.994,1.9652,0
-0.30505,1.2523,-0.29222,0.71426,-214.91,-0.30505,-0.30505,-0.25344,0.77037,-0.31738,-0.30505,-0.29829,-0.33838,-0.30505,-1620.6,-0.22523,0.79852,-0.30505,-0.36596,147.44,?,-0.33399,-0.36596,-0.30505,-0.31738,-0.22523,-3.0867,-1.0841,4.5134,1.4617,-0.36596,344.98,1.058,-0.2667,-0.33399,0.87221,1.7147,-0.087747,-0.40068,0.036354,-0.13239,-0.40068,303.57,156.13,-0.90598,0.38501,113.58,-0.35698,-0.42826,0.58328,1.0227,0.94515,-1.1775,-0.32554,-9531.1,-0.29809,0.96115,1.2981,-0.72353,2.4756,2.3377,447.81,0.81507,3.0925,0
0.12709,0.5305,0.38069,1.7198,-27.618,0,0.15611,0.885,2.1322,0.4695,0.17832,0.29516,0.098824,0.15611,918.94,0.3972,1.885,0.15611,0.073216,90.436,?,0.12362,0.059602,?,0.44796,0.34248,5.5662,4.2112,3.3658,0.23841,0.073545,95.696,3.8142,3.8027,0.11488,2.1322,?,0.4695,0.053877,0.047503,0.099222,0.057977,151.41,60.971,0.24056,0.72092,95.586,0.069017,0.032368,1.7146,0.52891,0.26218,5.1936,5.1936,883.77,0.053878,0.27068,0.92918,0,4.036,5.9864,90.54,4.0314,23.587,0
0.12624,0.66286,0.21916,1.3553,21.588,0.020227,0.15633,0.50862,1.713,0.33714,0.15937,0.25346,0.11511,0.15633,1227,0.29747,1.5086,0.15633,0.09126,26.912,1.344,0.15293,0.073699,?,0.32996,0.25209,50.281,1.3358,3.8428,0.37781,0.093036,144.29,2.5297,2.3538,0.15277,1.713,19.063,0.37437,0.089183,0.028266,0.11402,0.089279,174.4,147.49,0.99956,1.1506,29.547,0.11208,0.065428,1.2611,0.61676,0.39531,2.0548,2.2817,1526,0.089183,0.37445,0.90914,0.11041,13.563,2.4747,131.42,2.7774,10.44,0
0.29264,0.29252,0.34415,2.327,108.07,0,0.36131,2.4185,1.2512,0.70748,0.37144,1.3932,0.30276,0.36131,281.85,1.295,3.4185,0.36131,0.28876,23.793,1.8963,0.35928,0.23389,?,0.61961,1.0603,35.457,0.86793,4.1328,0.23009,0.28999,106.09,3.4404,3.0501,0.359,1.2512,?,0.70748,0.28692,0.017863,0.025879,0.28714,174.69,150.9,3.5879,2.0125,33.367,0.34177,0.27314,2.063,0.25934,0.29067,1.7842,1.7842,4672.6,0.28692,0.41365,0.71408,0,15.34,2.4188,75.653,4.8247,3.1556,0
0.079997,0.23967,0.32124,2.4739,8.1087,0.20743,0.069715,2.5466,1.0556,0.61034,0.069715,0.31987,0.067313,0.069715,742.04,0.49189,4.1724,0.069715,0.039805,59.273,1.1151,0.084917,0.045676,0.2369,0.61034,0.53479,0.51182,0.69713,4.407,0.089541,0.039805,47.948,7.6124,0.3543,0.084917,1.7847,11.73,0.63206,0.048485,0.3826,0.059204,0.048485,94.991,35.718,0.28127,1.169,62.571,0.03674,0.020977,2.2497,0.21795,0.13137,1.3245,1.3716,8200.8,0.052697,0.13107,0.9473,0.035588,6.1579,10.219,45.422,8.0358,3.8007,0
0.20817,0.6024,0.47935,2.1883,69.659,0,0.25911,0.66002,1.6923,0.3976,0.26164,0.6423,0.15635,0.25911,831.04,0.43921,1.66,0.25911,0.15311,43.642,1.2443,0.25951,0.12301,?,0.29164,0.35465,102.63,4.0885,4.6738,0.33935,0.15318,106.42,3.4297,2.2967,0.3087,1.6923,?,0.3976,0.18242,0.095409,0.075779,0.15335,182.1,138.46,1.0288,1.6867,53.38,0.25404,0.15012,1.4654,0.40341,0.29157,3.3912,3.3912,22619,0.18242,0.52357,0.84731,0,8.3634,2.6362,87.01,4.1949,14.434,0
0.26345,0.14318,0.61965,5.3277,198.95,0.55971,0.32142,5.8624,1.3437,0.8394,0.32142,2.2448,0.29742,0.32142,147.34,2.4773,6.9841,0.32142,0.26951,44.903,1.3684,0.31094,0.2209,0.69419,0.8394,2.0724,3.5033,2.6127,4.5087,-0.14624,0.26951,58.882,6.1989,2.1717,0.31094,1.2094,?,0.8394,0.26072,2.2239,0.013675,0.26072,136.01,91.108,1.7956,4.303,60.336,0.27765,0.23281,5.3277,0.14318,0.16132,3.5393,3.5393,19993,0.25578,0.31385,0.74422,0,8.1287,4.0062,43.821,8.3294,5.0286,0
-0.054623,0.92857,-0.026927,0.94263,-87.724,-0.054623,-0.054623,0.074796,0.92301,0.069453,-0.054623,-0.11637,-0.021237,-0.054623,-21123,-0.017279,1.0769,-0.054623,-0.072298,77.569,?,-0.062889,-0.072298,-0.054623,0.069453,-0.017279,-0.76829,-0.048297,4.7985,1.1752,-0.072298,209.3,1.7439,-0.067726,-0.062889,0.78894,0.61391,0.52863,-0.083238,0.092184,-1.2558,-0.083238,192.85,115.28,-0.3402,0.60056,71.596,-0.10147,-0.1343,0.4765,0.46939,0.57343,0.12457,0.94816,-1693.2,-0.083417,-0.78648,1.0834,6.6114,4.7055,3.1662,226.76,1.6096,1.3551,0
-0.35884,1.1171,-0.46577,0.46115,-152.21,-1.1752,-0.35884,-0.11206,0.97154,-0.12518,-0.35884,-0.41514,-0.19052,-0.35884,-1339.2,-0.27255,0.89517,-0.35884,-0.22455,40.657,1.0345,-0.1916,-0.22455,-0.82224,-0.12518,-0.27255,-1.1648,-0.77447,4.0712,0.66588,-0.22455,191.81,1.903,-0.17151,-0.1916,1.6321,0.87285,0.12756,-0.11989,0.094543,-0.26764,-0.11989,72.377,31.721,-2.0159,0.25521,39.499,-0.24597,-0.15392,0.35682,0.86437,0.5255,-0.20815,0.2121,-5487.2,-0.029298,2.8666,1.0293,-2.019,8.9776,11.507,197.43,1.8488,2.6572,0
0.10248,0.28993,0.07732,1.2981,-2.921,0.22034,0.12731,2.095,1.0805,0.60739,0.12731,0.4909,0.10245,0.12731,657.45,0.55517,3.4491,0.12731,0.081028,17.626,2.3868,0.13335,0.065225,0.27078,0.60739,0.46954,0.91705,0.11656,4.7376,0.17917,0.081028,65.098,5.6069,0.45993,0.13335,1.5958,8.5243,0.63799,0.08487,0.082504,0.057078,0.08487,73.238,55.612,1.3507,1.0056,19.046,0.099694,0.063452,1.1612,0.25934,0.17835,0.91566,0.96177,4225.5,0.074523,0.16872,0.92548,0.050368,20.708,6.5633,60.247,6.0584,2.3686,0
0.1409,0.7556,0.33886,1.6388,-11.094,0.36762,0.1409,0.32344,1.0508,0.2444,0.1409,0.26562,0.058424,0.1409,1839.4,0.19844,1.3234,0.1409,0.054902,58.71,1.3822,0.12079,0.054902,0.36762,0.2444,0.19844,0.49454,2.5933,4.383,0.24428,0.054902,79.276,4.6042,0.15986,0.12079,2.6197,2.0278,0.46952,0.047064,0.24451,0.19135,0.047064,105.19,46.479,0.34132,0.86058,61.692,0.11175,0.043543,1.1505,0.53048,0.21719,1.8704,3.5933,8185.6,0.048331,0.57654,0.95167,0.92116,6.217,7.8531,75.444,4.838,19.641,0
0.009297,0.78609,0.07811,1.1433,-97.822,-0.017464,0.01099,0.27211,0.99192,0.21391,0.12421,0.020155,0.020264,0.01099,14275,0.02557,1.2721,0.01099,0.011079,117.33,1.2061,0.017641,0.009373,?,0.11239,0.023417,0.1558,0.20739,5.1955,0.73003,0.045503,204.63,1.7837,1.2372,0.019335,0.99192,1.4143,0.42922,0.019493,0.15228,0.97951,0.017784,198.83,81.501,0.029159,0.55849,119.66,0.00853,0.0086,0.79299,0.54525,0.56063,0.56794,1.1396,12253,0.019493,0.043464,0.99395,1.0066,3.111,4.4785,200.64,1.8192,2.6336,0
0.001222,0.53108,0.2013,1.5431,-44.797,0.042436,0.002745,0.87355,0.99091,0.46393,0.002745,0.007405,0.033226,0.002745,3841.6,0.095012,1.883,0.002745,0.001807,89.269,1.0293,-0.007323,0.000805,0.056723,0.46393,0.092145,-0.047783,0.47025,4.0949,0.32395,0.001807,88.272,4.135,-0.013789,-0.007323,1.5498,1.2498,0.62437,-0.004822,0.14504,0.43228,-0.004822,124.54,35.272,0.003291,0.541,88.458,-0.055037,-0.036241,1.0769,0.37064,0.24184,1.0838,1.4586,2504.7,-0.009171,0.002635,1.0092,0.34583,4.0888,10.348,89.081,4.0974,3.5477,0
0.013079,0.75841,-0.060128,0.90444,-58.08,0.069955,0.012298,0.29958,0.99307,0.22721,0.012298,0.019544,0.015526,0.012298,7099.8,0.05141,1.3186,0.012298,0.004897,49.665,1.2765,-0.018598,0.005208,0.083487,0.22721,0.05244,-0.073544,-0.13954,4.2688,0.29704,0.004897,90.819,4.019,-0.024522,-0.018598,2.5558,1.7602,0.35639,-0.007406,0.022714,3.0806,-0.007406,80.637,30.972,0.038276,0.36138,49.32,-0.04529,-0.018034,0.75038,0.62923,0.24882,0.52728,0.82708,-1116.6,-0.006983,0.057565,1.007,0.56857,7.3493,11.785,91.453,3.9911,5.828,0
0.099873,0.57415,0.1756,1.3169,-1.2568,0.30824,0.11871,0.68902,1.0754,0.3956,0.11871,0.21423,0.094556,0.11871,1449.1,0.25189,1.7417,0.11871,0.077616,18.053,1.1377,0.10364,0.065299,0.37667,0.3956,0.21907,0.72869,0.64973,4.7881,0.35053,0.077616,142.21,2.5666,0.18051,0.10364,1.5671,32.688,0.41561,0.067762,0.25778,0.14571,0.067762,140.06,122.01,1.3202,1.1804,19.414,0.07773,0.050822,1.271,0.55414,0.38962,1.4638,1.5378,10781,0.07009,0.25246,0.92991,0.050582,20.218,2.9916,132.24,2.7601,5.6592,0
0.2953,0.34016,0.64812,3.8148,145.57,0,0.35799,1.9398,1.6355,0.65984,0.38165,1.5547,0.24433,0.35799,310.7,1.1748,2.9398,0.35799,0.21889,26.446,1.4323,0.37113,0.18056,?,0.65053,0.99045,15.684,5.3291,3.7471,-0.028571,0.21892,63.903,5.7118,3.8664,0.32029,1.6355,?,0.65984,0.19584,1.7438,0.027472,0.22692,106.42,79.978,2.492,3.3001,32.886,0.32951,0.20148,2.5823,0.23026,0.17508,5.4254,5.4254,3620.2,0.19584,0.44753,0.7905,0,13.802,4.5637,51.388,7.1028,13.448,0
0.12446,0.41949,0.43815,2.0445,14.774,0.017406,0.12446,1.3839,3.0598,0.58051,0.15777,0.2967,0.069518,0.12446,719.81,0.50708,2.3839,0.12446,0.040676,37.759,1.0018,0.15501,0.040676,?,0.14187,0.50708,4.6537,3.0778,3.3665,0.060254,0.042258,52.488,6.954,6.954,0.14271,3.0598,?,0.58051,0.046639,0.57368,0.057481,0.05066,73.6,35.841,0.39321,1.2899,39.606,0.06676,0.021818,2.0445,0.41949,0.1438,4.0778,4.0778,1019,0.046639,0.2144,0.95959,0,9.6667,10.184,50.04,7.2942,21.493,0
0.20279,0.17566,0.56391,4.2102,87.51,0.60033,0.25271,4.5786,1.2068,0.80429,0.25271,1.4386,0.19007,0.25271,218.26,1.6723,5.6928,0.25271,0.16352,61.365,1.3791,0.26083,0.13122,0.7494,0.80429,1.3881,2.0366,2.1653,5.4345,0.029768,0.16352,50.064,7.2906,1.4848,0.26083,1.5621,?,0.80429,0.16876,0.75371,0.019131,0.16876,143.4,82.031,0.78048,2.731,74.054,0.21978,0.14221,4.2102,0.17566,0.13716,3.0883,3.0883,153370,0.17135,0.25214,0.82865,0,5.9481,4.4495,41.486,8.7982,5.9345,0
